Store Name,Wine Name,Harvest Year,Capacity,Price,Currency,Date of Scraping,Location,Discount
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,2011,0.5,3.4754,Euro,7/17/2023,Portugal,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1992,0.75,4.8724,Dollar,8/21/2023,Brazil,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1900,0.75,3.5963,Yuan Renminbi,6/23/2023,Portugal,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1916,0.5,2.6163,Real,3/1/2023,USA,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1926,1.0,0.1185,Yen,8/1/2023,Brazil,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,2014,1.0,4.7516,Peso,8/13/2023,Brazil,True
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1987,1.0,7.3136,Euro,11/29/2022,Brazil,False
GarrafeiraSoares,Mateus Sparkling Rosé,1926,0.5,6.2088,Peso,7/28/2023,Portugal,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1922,0.5,1.4291999999999998,Euro,5/4/2023,USA,False
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,2008,0.5,8.8987,Yuan Renminbi,12/30/2022,USA,False
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1975,0.5,5.3942,Euro,7/19/2023,USA,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,2013,0.75,2.0475,Koruna,11/13/2022,USA,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2016,0.75,6.5289,Peso,8/12/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1939,0.5,8.8284,Tenge,9/22/2023,Brazil,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1987,0.75,1.8744999999999998,Yuan Renminbi,7/6/2023,Brazil,False
Continente Online,Casa Ferreirinha Papa Figos Branco,2005,0.75,4.1511000000000005,Zloty,8/16/2023,Portugal,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,2015,1.0,2.9651,Real,2/18/2023,Portugal,True
GarrafeiraSoares,Mateus Sparkling Rosé,1956,0.75,8.2824,Taka,7/22/2023,USA,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,2002,1.0,3.4600999999999997,Peso,9/17/2023,Brazil,True
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1925,0.5,9.4947,Yuan Renminbi,11/18/2022,Brazil,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1968,0.5,4.3916,Peso,9/12/2023,Portugal,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1911,0.75,7.892799999999999,Yuan Renminbi,4/3/2023,Portugal,False
Continente Online,Mateus Rosé Original,1910,0.75,5.9693,Baht,6/18/2023,Brazil,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1925,1.0,0.4743,Krona,5/3/2023,USA,True
GarrafeiraSoares,Mateus Rosé Original,1961,0.75,8.162,Peso,7/4/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1932,0.5,0.9,Peso,12/28/2022,Portugal,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2014,1.0,3.4932999999999996,Yuan Renminbi,4/13/2023,USA,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1990,1.0,8.976799999999999,Euro,1/16/2023,Brazil,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1920,1.0,3.7179,Peso,11/2/2022,Brazil,False
Supermercado El Corte Ingles,Mateus Rosé Original,1950,0.75,9.8828,Boliviano,12/26/2022,Brazil,False
Continente Online,Mateus Sparkling Rosé,2006,0.5,2.3716999999999997,Dinar,12/5/2022,USA,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1956,1.0,3.1954000000000002,Real,3/20/2023,Portugal,True
Continente Online,Mateus Rosé Original,1966,0.5,4.7911,Rupiah,2/6/2023,USA,False
Continente Online,Mateus Rosé Original,1964,0.75,2.2193,Real,1/17/2023,Portugal,True
GarrafeiraSoares,Mateus Sparkling Rosé,1957,1.0,1.0442,Zloty,7/23/2023,Brazil,False
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1995,0.75,2.3813999999999997,Peso,12/29/2022,Brazil,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1982,0.75,6.8657,Peso,3/30/2023,USA,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1947,0.5,2.2128,Ruble,6/18/2023,Brazil,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,2004,1.0,2.245,Yuan Renminbi,1/10/2023,Brazil,False
GarrafeiraSoares,Mateus Rosé Original,2018,0.75,3.193,Yuan Renminbi,2/14/2023,Portugal,True
Continente Online,Mateus Rosé Original,1940,0.75,2.1341,Peso,2/4/2023,USA,False
GarrafeiraSoares,Mateus Sparkling Rosé,1940,0.75,6.9309,Euro,6/21/2023,USA,False
Continente Online,Mateus Rosé Original,1981,1.0,2.0803,Naira,3/17/2023,USA,False
GarrafeiraSoares,Mateus Rosé Original,1961,1.0,1.2538,Yuan Renminbi,4/16/2023,Brazil,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1949,0.5,8.8517,Yuan Renminbi,11/18/2022,Portugal,False
GarrafeiraSoares,Mateus Sparkling Rosé,1945,0.5,4.3732999999999995,Euro,6/24/2023,USA,False
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1947,1.0,9.0705,Real,7/9/2023,Portugal,True
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1936,0.5,3.0515,Peso,3/12/2023,Portugal,True
GarrafeiraSoares,Mateus Rosé Original,1984,0.5,0.0038,Zloty,11/20/2022,USA,False
Continente Online,Mateus Rosé Original,1989,0.75,4.5100999999999996,Sol,6/11/2023,USA,True
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1957,1.0,7.3738,Rupiah,9/27/2023,USA,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1984,0.75,8.6137,Hryvnia,1/31/2023,USA,True
Continente Online,Mateus Sparkling Rosé,1944,0.75,1.3592,Dirham,7/22/2023,Brazil,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1979,0.5,2.3676,Cordoba,12/23/2022,Portugal,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,2008,0.5,6.4945,Yen,2/23/2023,USA,False
GarrafeiraSoares,Mateus Sparkling Rosé,1977,0.75,6.3197,Peso,3/22/2023,Portugal,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1965,1.0,2.0353,Dollar,9/25/2023,Brazil,True
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1902,0.5,5.0470999999999995,Yuan Renminbi,3/26/2023,Brazil,False
Continente Online,Casa Ferreirinha Papa Figos Branco,2017,1.0,4.374,Peso,3/27/2023,Brazil,True
GarrafeiraSoares,Mateus Sparkling Rosé,1902,0.75,3.8105,Ruble,3/28/2023,Portugal,False
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1910,0.5,4.0445,Real,1/12/2023,Portugal,False
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1968,0.75,3.5532,Yuan Renminbi,11/30/2022,Portugal,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1917,1.0,4.869800000000001,Euro,3/31/2023,USA,True
GarrafeiraSoares,Mateus Rosé Original,2019,0.75,1.8769,Dinar,1/26/2023,Portugal,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1976,0.5,4.6605,Yuan Renminbi,7/16/2023,Brazil,False
