Store Name,Wine Name,Harvest Year,Capacity,Price,Currency,Date of Scraping,Location,Discount
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,2011,0.5,347.54,Euro,7/17/2023,Portugal,true
Continente Online,Casa Ferreirinha Papa Figos Branco,1992,0.75,487.24,Dollar,8/21/2023,Brazil,true
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1900,0.75,359.63,Yuan Renminbi,6/23/2023,Portugal,false
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1916,0.5,261.63,Real,3/1/2023,USA,false
Continente Online,Casa Ferreirinha Papa Figos Branco,1926,1.0,11.85,Yen,8/1/2023,Brazil,false
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,2014,1.0,475.16,Peso,8/13/2023,Brazil,true
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1987,1.0,731.36,Euro,11/29/2022,Brazil,false
GarrafeiraSoares,Mateus Sparkling Rosé,1926,0.5,620.88,Peso,7/28/2023,Portugal,true
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1922,0.5,142.92,Euro,5/4/2023,USA,false
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,2008,0.5,889.87,Yuan Renminbi,12/30/2022,USA,false
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1975,0.5,539.42,Euro,7/19/2023,USA,true
Supermercado El Corte Ingles,Mateus Sparkling Rosé,2013,0.75,204.75,Koruna,11/13/2022,USA,true
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2016,0.75,652.89,Peso,8/12/2023,Portugal,true
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1939,0.5,882.84,Tenge,9/22/2023,Brazil,false
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1987,0.75,187.45,Yuan Renminbi,7/6/2023,Brazil,false
Continente Online,Casa Ferreirinha Papa Figos Branco,2005,0.75,415.11,Zloty,8/16/2023,Portugal,true
Continente Online,Herdade do Peso Trinca Bolotas Tinto,2015,1.0,296.51,Real,2/18/2023,Portugal,true
GarrafeiraSoares,Mateus Sparkling Rosé,1956,0.75,828.24,Taka,7/22/2023,USA,true
Continente Online,Herdade do Peso Trinca Bolotas Tinto,2002,1.0,346.01,Peso,9/17/2023,Brazil,true
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1925,0.5,949.47,Yuan Renminbi,11/18/2022,Brazil,true
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1968,0.5,439.16,Peso,9/12/2023,Portugal,false
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1911,0.75,789.28,Yuan Renminbi,4/3/2023,Portugal,false
Continente Online,Mateus Rosé Original,1910,0.75,596.93,Baht,6/18/2023,Brazil,false
Continente Online,Casa Ferreirinha Papa Figos Branco,1925,1.0,47.43,Krona,5/3/2023,USA,true
GarrafeiraSoares,Mateus Rosé Original,1961,0.75,816.2,Peso,7/4/2023,Portugal,true
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1932,0.5,90.0,Peso,12/28/2022,Portugal,false
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2014,1.0,349.33,Yuan Renminbi,4/13/2023,USA,false
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1990,1.0,897.68,Euro,1/16/2023,Brazil,true
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1920,1.0,371.79,Peso,11/2/2022,Brazil,false
Supermercado El Corte Ingles,Mateus Rosé Original,1950,0.75,988.28,Boliviano,12/26/2022,Brazil,false
Continente Online,Mateus Sparkling Rosé,2006,0.5,237.17,Dinar,12/5/2022,USA,true
Continente Online,Casa Ferreirinha Papa Figos Branco,1956,1.0,319.54,Real,3/20/2023,Portugal,true
Continente Online,Mateus Rosé Original,1966,0.5,479.11,Rupiah,2/6/2023,USA,false
Continente Online,Mateus Rosé Original,1964,0.75,221.93,Real,1/17/2023,Portugal,true
GarrafeiraSoares,Mateus Sparkling Rosé,1957,1.0,104.42,Zloty,7/23/2023,Brazil,false
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1995,0.75,238.14,Peso,12/29/2022,Brazil,false
Continente Online,Casa Ferreirinha Papa Figos Branco,1982,0.75,686.57,Peso,3/30/2023,USA,false
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1947,0.5,221.28,Ruble,6/18/2023,Brazil,false
Continente Online,Herdade do Peso Trinca Bolotas Tinto,2004,1.0,224.5,Yuan Renminbi,1/10/2023,Brazil,false
GarrafeiraSoares,Mateus Rosé Original,2018,0.75,319.3,Yuan Renminbi,2/14/2023,Portugal,true
Continente Online,Mateus Rosé Original,1940,0.75,213.41,Peso,2/4/2023,USA,false
GarrafeiraSoares,Mateus Sparkling Rosé,1940,0.75,693.09,Euro,6/21/2023,USA,false
Continente Online,Mateus Rosé Original,1981,1.0,208.03,Naira,3/17/2023,USA,false
GarrafeiraSoares,Mateus Rosé Original,1961,1.0,125.38,Yuan Renminbi,4/16/2023,Brazil,false
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1949,0.5,885.17,Yuan Renminbi,11/18/2022,Portugal,false
GarrafeiraSoares,Mateus Sparkling Rosé,1945,0.5,437.33,Euro,6/24/2023,USA,false
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1947,1.0,907.05,Real,7/9/2023,Portugal,true
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1936,0.5,305.15,Peso,3/12/2023,Portugal,true
GarrafeiraSoares,Mateus Rosé Original,1984,0.5,0.38,Zloty,11/20/2022,USA,false
Continente Online,Mateus Rosé Original,1989,0.75,451.01,Sol,6/11/2023,USA,true
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1957,1.0,737.38,Rupiah,9/27/2023,USA,true
Continente Online,Casa Ferreirinha Papa Figos Branco,1984,0.75,861.37,Hryvnia,1/31/2023,USA,true
Continente Online,Mateus Sparkling Rosé,1944,0.75,135.92,Dirham,7/22/2023,Brazil,true
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1979,0.5,236.76,Cordoba,12/23/2022,Portugal,false
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,2008,0.5,649.45,Yen,2/23/2023,USA,false
GarrafeiraSoares,Mateus Sparkling Rosé,1977,0.75,631.97,Peso,3/22/2023,Portugal,true
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1965,1.0,203.53,Dollar,9/25/2023,Brazil,true
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1902,0.5,504.71,Yuan Renminbi,3/26/2023,Brazil,false
Continente Online,Casa Ferreirinha Papa Figos Branco,2017,1.0,437.4,Peso,3/27/2023,Brazil,true
GarrafeiraSoares,Mateus Sparkling Rosé,1902,0.75,381.05,Ruble,3/28/2023,Portugal,false
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1910,0.5,404.45,Real,1/12/2023,Portugal,false
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1968,0.75,355.32,Yuan Renminbi,11/30/2022,Portugal,false
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1917,1.0,486.98,Euro,3/31/2023,USA,true
GarrafeiraSoares,Mateus Rosé Original,2019,0.75,187.69,Dinar,1/26/2023,Portugal,true
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1976,0.5,466.05,Yuan Renminbi,7/16/2023,Brazil,false
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1952,0.5,511.4,Dong,1/25/2023,USA,false
Supermercado El Corte Ingles,Mateus Rosé Original,1992,0.5,358.64,Rial,9/27/2023,Brazil,false
GarrafeiraSoares,Mateus Sparkling Rosé,1989,0.75,932.45,Sol,10/11/2023,USA,true
